refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	MetaSRA_age	MetaSRA_age.unit
SRR4040383	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P1-DG_S167_L001_R1		12.0	week
SRR4040384	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P1-DG_S97_L001_R1		12.0	week
SRR4040385	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P1-DG_S98_L001_R1		12.0	week
SRR4040386	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P1-DG_S99_L001_R1		12.0	week
SRR4040387	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S386_L001_R1		12.0	week
SRR4040388	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S387_L001_R1		12.0	week
SRR4040389	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S388_L001_R1		12.0	week
SRR4040390	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S389_L001_R1		12.0	week
SRR4040391	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S390_L001_R1		12.0	week
SRR4040392	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S391_L001_R1		12.0	week
